OTU_ID	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S30	taxonomy
denovo108	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Ruminococcaceae;D_5__Ruminococcaceae UCG-014
denovo109	4	0	0	0	0	0	0	0	0	0	2	99	2	0	4	1	0	57	0	1	0	1	29	0	39	0	0	0	1	0	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Rikenellaceae;D_5__Alistipes;Ambiguous_taxa
denovo11	112	30	234	1	174	2727	1364	4	129	0	524	3	356	628	0	16	0	576	856	1451	0	86	2731	440	589	1	482	1981	969	67	D_0__Bacteria;D_1__Firmicutes;D_2__Negativicutes;D_3__Selenomonadales;D_4__Acidaminococcaceae;D_5__Phascolarctobacterium
denovo110	0	0	0	0	0	0	0	0	111	0	0	1	0	0	0	0	0	0	1523	0	0	0	0	0	0	0	0	0	1	0	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Prevotellaceae;D_5__Alloprevotella;D_6__uncultured bacterium
denovo111	0	0	0	0	0	0	28	0	0	0	0	0	0	1	32	0	0	1	0	0	0	1	155	0	0	0	0	0	0	0	D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Ruminococcaceae;D_5__Ruminococcaceae UCG-014
denovo112	0	30	0	0	0	77	1	0	13	0	53	0	0	0	10	0	7	1	29	0	2	0	0	0	1	46	0	358	0	108	D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__Desulfovibrionales;D_4__Desulfovibrionaceae;D_5__Desulfovibrio;D_6__uncultured bacterium
denovo113	12	2	0	0	0	4	0	14	2	0	22	0	0	0	3	0	0	8	1	0	4	0	0	17	5	0	0	16	61	0	D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Lachnospiraceae;D_5__Tyzzerella 3;D_6__uncultured bacterium
denovo114	8	3	38	1	1	4	4	6	0	9	23	67	3	16	1	0	2	18	2	3	12	1	7	0	12	3	1	35	60	6	D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Ruminococcaceae;D_5__Flavonifractor;D_6__uncultured bacterium
denovo115	0	0	0	1358	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	594	0	0	0	0	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Prevotellaceae;D_5__Alloprevotella;D_6__uncultured bacterium
denovo116	1	10	0	0	0	18	0	0	5	0	0	46	10	0	38	16	3	2	2	8	0	11	4	0	3	3	0	0	0	21	D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Ruminococcaceae;D_5__Ruminococcaceae UCG-005;Ambiguous_taxa
denovo117	0	0	0	0	0	43	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	9	0	0	0	84	0	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Betaproteobacteriales;D_4__Burkholderiaceae;D_5__Sutterella;Ambiguous_taxa
denovo118	0	0	0	0	0	8	10	62	22	5	3	13	20	7	13	0	0	23	16	37	38	10	22	83	39	28	37	42	28	29	D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Bacillales;D_4__Bacillaceae;D_5__Oceanobacillus
denovo119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Ruminococcaceae;D_5__Ruminococcaceae UCG-010;D_6__uncultured bacterium
denovo12	7243	185	4443	53	2	314	104	1028	47	191	98	123	4	62	36	2499	1	55	15	0	160	0	113	8	44	10	1334	166	0	4	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Bacteroidaceae;D_5__Bacteroides
denovo120	179	0	0	0	0	0	0	1	277	0	376	0	0	1	0	19	0	0	208	0	0	275	1	0	0	0	0	0	0	118	D_0__Bacteria;D_1__Firmicutes;D_2__Negativicutes;D_3__Selenomonadales;D_4__Veillonellaceae;D_5__Megasphaera;D_6__uncultured bacterium
denovo121	0	0	9	0	0	0	0	0	12	61	0	0	0	1	0	3	18	0	0	0	10	0	0	0	1	0	0	0	0	3	D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Clostridiaceae 1;D_5__Clostridium sensu stricto 1;Ambiguous_taxa
denovo122	0	1	0	7	2	9	0	2	4	0	42	80	38	0	57	0	10	0	2	19	0	90	27	0	0	11	13	0	0	6	D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Ruminococcaceae;D_5__Ruminococcus 1;Ambiguous_taxa
denovo123	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	D_0__Bacteria;D_1__Actinobacteria;D_2__Coriobacteriia;D_3__Coriobacteriales;D_4__Eggerthellaceae;D_5__uncultured;D_6__uncultured bacterium
denovo124	2	2	0	0	2	0	14	16	0	34	0	37	37	7	0	0	0	0	0	64	36	23	56	31	12	0	20	25	0	0	D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Ruminococcaceae;D_5__Ruminiclostridium 5;D_6__uncultured organism
denovo125	0	0	0	0	0	0	91	0	5	0	0	0	0	0	9	0	0	0	31	44	0	0	61	0	0	0	0	0	0	0	D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Ruminococcaceae;D_5__Negativibacillus;D_6__uncultured bacterium
denovo126	0	0	0	0	0	0	0	0	0	311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Clostridiaceae 1;D_5__Sarcina;D_6__uncultured bacterium
denovo127	0	0	237	14	0	14	0	0	0	0	0	0	0	0	0	66	0	0	3	0	0	0	4	0	0	0	0	0	0	0	D_0__Bacteria;D_1__Firmicutes;D_2__Negativicutes;D_3__Selenomonadales;D_4__Acidaminococcaceae;D_5__Phascolarctobacterium
denovo128	0	0	0	0	0	0	0	0	2	0	2	0	41	0	14	0	0	0	1	2	0	16	13	0	0	0	0	0	3	0	D_0__Bacteria;D_1__Actinobacteria;D_2__Coriobacteriia;D_3__Coriobacteriales;D_4__Coriobacteriales Incertae Sedis;D_5__uncultured;D_6__uncultured bacterium
denovo129	0	0	0	0	1	4	1	1	2	0	1	42	0	0	5	3	0	20	23	19	1	7	10	0	30	21	8	112	19	8	D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Lachnospiraceae
denovo13	7	63	33	276	124	26	3	18	538	74	87	73	219	32	21	46	8	33	276	143	446	149	170	63	262	965	371	603	44	226	D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Peptostreptococcaceae;D_5__Romboutsia;D_6__uncultured bacterium
denovo130	1	0	0	0	0	0	0	0	0	0	0	27	0	0	0	162	0	0	54	0	0	0	0	0	0	0	0	0	0	0	D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__Desulfovibrionales;D_4__Desulfovibrionaceae;D_5__Desulfovibrio
denovo131	0	20	0	0	0	17	5	1	0	0	46	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	D_0__Bacteria;D_1__Verrucomicrobia;D_2__Verrucomicrobiae;D_3__Verrucomicrobiales;D_4__Akkermansiaceae;D_5__Akkermansia;D_6__uncultured bacterium
denovo132	0	0	0	2	1	14	0	0	0	0	0	0	13	0	3	2	0	0	0	14	0	2	4	0	0	11	0	0	0	9	D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Ruminococcaceae;D_5__Ruminococcaceae UCG-005
denovo133	0	0	0	4	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	18	59	0	0	6	0	26	126	1	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Prevotellaceae;D_5__Paraprevotella;D_6__uncultured bacterium
denovo134	0	0	314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	D_0__Bacteria;D_1__Fusobacteria;D_2__Fusobacteriia;D_3__Fusobacteriales;D_4__Fusobacteriaceae;D_5__Cetobacterium;D_6__uncultured bacterium
denovo135	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Ruminococcaceae;D_5__[Eubacterium] coprostanoligenes group;D_6__uncultured bacterium
denovo136	0	3	0	0	0	16	2	33	8	27	11	41	4	10	1	0	0	0	10	0	1	0	0	0	0	0	1	1	9	0	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Tannerellaceae;D_5__Parabacteroides;Ambiguous_taxa
denovo137	0	1	0	0	0	0	16	0	0	0	0	0	0	0	150	0	0	0	0	0	0	0	0	0	0	8	0	0	3	0	D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Ruminococcaceae;D_5__Ruminiclostridium 6;D_6__uncultured bacterium
denovo138	10	0	17	0	0	3	7	4	0	3	27	57	1	4	17	0	0	5	1	8	0	3	9	2	8	3	2	12	6	4	D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Ruminococcaceae;D_5__UBA1819;D_6__uncultured organism
denovo139	0	0	0	0	0	1	0	1	2	0	93	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Ruminococcaceae;D_5__CAG-352;D_6__uncultured bacterium
denovo14	111	6	11	3	199	67	114	1212	46	91	22	187	22	153	168	7	16	6	5	27	1216	24	27	13	6	329	2	183	16	1478	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Enterobacteriales;D_4__Enterobacteriaceae;D_5__Escherichia-Shigella
denovo140	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Rikenellaceae;D_5__Rikenellaceae RC9 gut group;D_6__uncultured bacterium
denovo141	0	0	0	0	0	0	0	0	0	0	0	200	0	39	16	1	0	0	2	0	0	98	15	0	4	0	0	0	0	0	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Betaproteobacteriales;D_4__Burkholderiaceae;D_5__Sutterella
denovo142	0	0	0	0	0	0	296	0	0	0	0	0	0	0	159	0	0	133	0	0	0	0	0	0	81	0	0	0	0	0	D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Ruminococcaceae;D_5__Ruminococcaceae UCG-014
denovo143	16	1	0	0	11	3	4	1	11	5	6	7	5	0	15	1	4	5	4	3	20	7	1	2	7	82	101	0	1	17	D_0__Bacteria;D_1__Firmicutes;D_2__Erysipelotrichia;D_3__Erysipelotrichales;D_4__Erysipelotrichaceae;D_5__Turicibacter;D_6__uncultured bacterium
denovo144	0	1	0	5	0	3	13	0	0	0	24	0	12	0	12	9	12	12	0	15	0	4	82	0	13	16	0	0	3	5	D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Christensenellaceae;D_5__Christensenellaceae R-7 group;D_6__uncultured bacterium
denovo145	0	3	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	58	0	0	0	0	0	0	38	0	0	1	0	0	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Bacteroidaceae;D_5__Bacteroides;Ambiguous_taxa
denovo146	7	0	1	0	0	0	0	0	0	0	51	0	1	0	15	0	12	15	0	0	0	10	12	0	18	2	0	1	40	0	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Marinifilaceae;D_5__Butyricimonas;D_6__uncultured bacterium
denovo147	10	0	51	0	0	0	4	78	1	68	14	37	2	3	0	1	0	6	0	0	1	2	1	3	7	1	14	20	15	0	D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Lachnospiraceae;D_5__Lachnoclostridium
denovo148	0	10	0	5	1	0	4	0	3	0	0	0	0	19	0	7	3	0	0	1	0	1	3	0	2	0	1	0	9	3	D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Ruminococcaceae;D_5__Ruminiclostridium 9
denovo149	0	30	274	33	9	38	262	1	0	0	0	1	0	0	142	244	0	146	2	19	0	233	168	0	116	0	16	12	11	0	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Barnesiellaceae;D_5__Barnesiella;D_6__uncultured bacterium
denovo15	225	0	85	14	0	257	320	3	3	96	159	420	108	38	522	392	7	576	12	81	0	513	203	13	361	2	93	0	1	23	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Rikenellaceae;D_5__Alistipes;D_6__uncultured Alistipes sp.
denovo150	0	0	1	0	0	20	0	1	0	0	8	48	0	1	10	1	6	8	0	9	0	1	62	1	2	7	0	0	9	6	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Rikenellaceae;D_5__Alistipes;Ambiguous_taxa
denovo151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Prevotellaceae;D_5__Prevotella 2;D_6__uncultured bacterium
denovo152	0	0	0	0	1	0	0	0	5	0	0	1	0	0	0	509	0	0	88	0	0	181	70	0	0	0	0	0	266	0	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Prevotellaceae;D_5__Prevotellaceae NK3B31 group;Ambiguous_taxa
denovo153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Ruminococcaceae;D_5__Ruminiclostridium 6;D_6__uncultured bacterium
denovo154	0	0	0	0	0	1	4	0	0	0	0	0	0	0	10	0	0	2	0	2	0	4	12	0	0	0	0	0	0	0	D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Lachnospiraceae;D_5__Roseburia
denovo155	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Ruminococcaceae;D_5__Ruminococcaceae UCG-014;D_6__uncultured bacterium
denovo156	0	10	98	30	16	14	1099	3	13	0	24	40	15	23	311	85	6	511	0	15	0	112	62	2	304	16	59	56	87	88	D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Lachnospiraceae;D_5__Lachnospiraceae NK4A136 group
denovo157	0	0	0	2	0	12	0	0	27	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	227	D_0__Bacteria;D_1__Actinobacteria;D_2__Coriobacteriia;D_3__Coriobacteriales;D_4__Eggerthellaceae;D_5__Senegalimassilia;D_6__uncultured bacterium
denovo158	6	2	10	0	0	3	3	6	1	6	3	117	12	0	7	2	3	17	0	0	1	0	0	0	21	0	0	1	118	2	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Bacteroidaceae;D_5__Bacteroides
denovo159	6	5	3	0	2	2	23	0	0	18	30	8	2	0	1	2	2	20	0	0	0	3	0	0	10	1	0	6	3	1	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Bacteroidaceae;D_5__Bacteroides
denovo16	98	0	0	54	1	33	2	3	223	4	14	44	18	0	35	33	17	43	2	7	0	64	3	78	10	3	0	0	1	13	D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Lachnospiraceae;D_5__Lachnospira;D_6__uncultured bacterium
denovo160	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Ruminococcaceae;D_5__Ruminococcus 2;D_6__uncultured bacterium
denovo161	0	0	0	0	0	5	0	0	0	0	0	0	0	0	18	0	0	7	2	0	0	0	0	0	5	1	0	0	0	0	D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Christensenellaceae
denovo162	138	0	12	7	5	4	0	31	16	422	33	0	7	11	0	1	0	2	4	2	28	2	0	32	22	1	233	10	25	13	D_0__Bacteria;D_1__Firmicutes;D_2__Negativicutes;D_3__Selenomonadales;D_4__Veillonellaceae;D_5__Veillonella
denovo163	0	0	0	0	0	0	8	1	0	0	3	3	5	0	17	4	0	23	0	0	1	10	0	0	14	0	0	2	0	0	D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Family XIII;D_5__Family XIII UCG-001;D_6__uncultured bacterium
denovo164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodospirillales;D_4__uncultured
denovo165	0	0	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Ruminococcaceae;D_5__Oscillospira;D_6__uncultured bacterium
denovo166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Clostridiales vadinBB60 group;D_5__uncultured organism;D_6__uncultured organism
denovo167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Ruminococcaceae;D_5__Ruminococcus 1;Ambiguous_taxa
denovo168	0	1	0	0	0	1	0	0	0	2	0	10	0	0	0	0	0	10	186	2	0	0	1	0	9	0	0	0	0	1	D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Ruminococcaceae;D_5__[Eubacterium] coprostanoligenes group
denovo169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Muribaculaceae;D_5__uncultured bacterium;D_6__uncultured bacterium
denovo17	0	1118	3	377	0	1	2	10	3642	1	127	2	830	1139	0	0	32	0	3867	765	4	150	1125	1	56	1	1	0	3	1012	D_0__Bacteria;D_1__Firmicutes;D_2__Negativicutes;D_3__Selenomonadales;D_4__Veillonellaceae;D_5__Megamonas;D_6__uncultured bacterium
denovo170	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Clostridiales vadinBB60 group;D_5__uncultured bacterium;D_6__uncultured bacterium
denovo171	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	17	D_0__Bacteria;D_1__Actinobacteria;D_2__Coriobacteriia;D_3__Coriobacteriales;D_4__Eggerthellaceae;D_5__Slackia;Ambiguous_taxa
denovo172	0	0	0	0	0	0	1	0	0	0	7	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	11	0	D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Lachnospiraceae;D_5__Lachnospiraceae NK4A136 group
denovo173	4	2	5	0	0	0	2	11	0	8	1	2	1	1	0	8	0	2	1	4	0	2	5	2	2	4	0	3	10	1	D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Ruminococcaceae;D_5__Ruminiclostridium 9
denovo174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	546	0	0	0	56	0	0	0	0	0	0	0	0	0	0	65	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Prevotellaceae;D_5__Prevotellaceae UCG-001;Ambiguous_taxa
denovo175	0	0	0	0	0	0	0	0	0	0	0	703	0	0	0	0	0	0	0	0	0	0	0	0	189	0	0	0	0	51	D_0__Bacteria;D_1__Firmicutes;D_2__Negativicutes;D_3__Selenomonadales;D_4__Veillonellaceae;D_5__Megasphaera;D_6__uncultured bacterium
denovo176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	307	0	0	0	0	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Prevotellaceae;D_5__uncultured;D_6__uncultured bacterium
denovo177	0	0	0	0	0	20	0	0	0	0	0	0	2	0	11	0	0	0	0	0	0	4	0	0	0	4	0	0	0	0	D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Ruminococcaceae;D_5__Ruminococcaceae NK4A214 group
denovo178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Betaproteobacteriales;D_4__Burkholderiaceae;D_5__Sutterella;Ambiguous_taxa
denovo179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Prevotellaceae;D_5__Prevotellaceae Ga6A1 group;D_6__uncultured bacterium
denovo18	119	8	19	11	23	92	1125	275	26	702	66	43	548	73	191	6	0	589	166	35	174	140	135	1028	363	673	864	1578	1854	103	D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Lachnospiraceae;D_5__Anaerostipes;D_6__uncultured bacterium
denovo180	1	0	0	0	0	0	2	259	0	8	4	8	1	4	0	0	0	4	1	11	6	2	9	8	4	0	13	12	31	0	D_0__Bacteria;D_1__Actinobacteria;D_2__Coriobacteriia;D_3__Coriobacteriales;D_4__Eggerthellaceae;D_5__Eggerthella;D_6__uncultured bacterium
denovo181	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	2	0	4	10	0	0	19	0	0	10	0	0	0	11	D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Ruminococcaceae;D_5__Ruminiclostridium 5;D_6__uncultured bacterium
denovo182	2	0	1	0	1	3	0	47	1	1	0	45	0	0	5	0	0	1	3	2	5	0	2	182	3	0	2	1	1	29	D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Lactobacillales;D_4__Enterococcaceae;D_5__Enterococcus
denovo183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	764	1	3	0	0	0	0	0	0	D_0__Bacteria;D_1__Firmicutes;D_2__Negativicutes;D_3__Selenomonadales;D_4__Veillonellaceae;D_5__Dialister;D_6__uncultured bacterium
